ID           Name                                                                               Type           Distribution    Slug                                         Public    Min Disk    Created
112379295    Convoy 0.6.0 on Ubuntu 20.04                                                       application    Ubuntu          convoy                                       false     25          2022-07-11T09:54:32Z
113137715    Nakama 3.12.0 on Ubuntu 18.04                                                      application    Ubuntu          nakama-18-04                                 false     25          2022-07-21T14:55:08Z
114133748    Odoo 14 on Ubuntu 20.04                                                            application    Ubuntu          bigcloud-odoo                                false     25          2022-08-04T16:12:54Z
114445163    RStudio 2021.09.2+382 on Ubuntu 20.04                                              application    Ubuntu          rstudio-20-04                                false     25          2022-08-09T02:09:10Z
114537960    Invoice Ninja 5 on Ubuntu 20.0.4                                                   application    Ubuntu          invoiceninja-20-0-4                          false     25          2022-08-10T11:07:23Z
116470971    nPool 1.8 on Ubuntu 20.04                                                          application    Ubuntu          npool                                        false     25          2022-09-08T08:33:25Z
117726186    BotGuard Ingress Controller 1.0 on Debian 11 (bullseye)                            application    Debian          botguardo-botguardingressc                   false     25          2022-09-27T13:19:38Z
117873390    Intel gProfiler Crypto Demo 1.3 on Ubuntu 20.04                                    application    Ubuntu          intel-intelgprofilercr                       false     80          2022-09-29T21:47:27Z
118649344    Callaba Cloud Live Streaming 6.0 on Ubuntu 20.04 (LTS)                             application    Ubuntu          callabacloud-callabacloudlive                false     60          2022-10-11T10:19:26Z
118853397    Pi-hole VPN 0.2.1-beta on Debian 11                                                application    Debian          sharklabs-piholevpn                          false     10          2022-10-14T16:41:02Z
119537555    log-store 0.6.3 on Ubuntu 22.04                                                    application    Ubuntu          logstore                                     false     25          2022-10-25T00:35:46Z
119773526    OpenMPTCProuter 0.1.0-beta on Debian 11                                            application    Debian          sharklabs-openmptcprouter                    false     10          2022-10-28T15:36:14Z
119776176    ShellHub 0.10.4 on Ubuntu 22.04                                                    application    Ubuntu          shellhub                                     false     25          2022-10-28T18:05:00Z
120503505    SOOS DAST Droplet 0.3.4 on Ubuntu 20.04                                            application    Ubuntu          soos-soosdastdroplet                         false     25          2022-11-08T18:40:49Z
121125522    Flashphoner Web Call Server 5.2.1484 on CentOS 7.6                                 application    CentOS          flashphoner-7-6                              false     50          2022-11-18T01:19:49Z
121749717    wpcontroller 20221127181653 on Ubuntu 22.04                                        application    Ubuntu          warpspeedvpn-wpcontroller                    false     25          2022-11-27T18:24:36Z
121873995    Micro 3.15.0 on 22.04                                                              application    Ubuntu          m3o-micro                                    false     25          2022-11-29T12:48:10Z
122224025    StretchShop 0.6.8 on Ubuntu 22.04                                                  application    Ubuntu          stretchshop                                  false     25          2022-12-04T21:18:45Z
122871403    Akaunting on Ubuntu 20.04                                                          application    Ubuntu          akaunting-20-04                              false     25          2022-12-14T16:04:33Z
123266137    Znuny 6.4.5 on Debian 10 (buster)                                                  application    Debian          znuny                                        false     25          2022-12-20T15:33:39Z
123334937    NGINX 1.23.3 on Ubuntu 22.04                                                       application    Ubuntu          nginx                                        false     25          2022-12-21T17:21:06Z
123448769    OTT Stream 1.0 on Centos 7                                                         application    CentOS          playboxtechnolog-ottstream                   false     50          2022-12-23T09:01:05Z
124191065    Stacks Blockchain 2.05.0.6.0 on Debian 11                                          application    Debian          stacksfoundation-stacksblockchain            false     80          2023-01-03T23:13:54Z
126385394    HQbird Firebird  3.0-10.1.1209 on CentOS 7                                         application    CentOS          ibsurgeon-hqbirdfirebird                     false     80          2023-02-06T13:52:05Z
126828281    RunCloud-20.04 2.6.1.1 on Ubuntu 20.04                                             application    Ubuntu          runcloud-runcloud2004-20-04                  false     25          2023-02-14T05:43:44Z
126897486    Workflow Server 3 3.1.1 on Ubuntu 22.04                                            application    Ubuntu          optimajet-workflowserver3                    false     25          2023-02-14T13:56:13Z
127543848    WorkflowServer 3.1.1 on Ubuntu 22.04                                               application    Ubuntu          optimajet-workflowserver-18-04               false     25          2023-02-24T14:41:37Z
128822461    titra 0.90.2 on Ubuntu 22.04                                                       application    Ubuntu          kromit-titra-20-04                           false     25          2023-03-16T14:22:25Z
129183927    PhotoPrism on Ubuntu 22.04                                                         application    Ubuntu          photoprism-20-04                             false     25          2023-03-22T02:27:02Z
129589827    Openblocks 1.1.8 on Ubuntu 20.04 (LTS)                                             application    Ubuntu          openblocks                                   false     50          2023-03-28T07:28:48Z
130115563    Easypanel 1.16.0 on Ubuntu 22.04                                                   application    Ubuntu          easypanel                                    false     25          2023-04-05T13:27:44Z
130673319    AzuraCast 0.17.7 on Ubuntu 22.04                                                   application    Ubuntu          azuracast-20-04                              false     50          2023-04-14T02:13:37Z
131016796    OriginTrail node 6 on Ubuntu 20.04                                                 application    Ubuntu          origintrail-origintrailnode                  false     25          2023-04-19T14:41:05Z
131020599    Jelastic PaaS 8.2-5 on Centos 7                                                    application    CentOS          jelastic-jelasticpaas-7                      false     160         2023-04-19T18:17:26Z
131398269    Zabbix Proxy 6.4 6.4.1 on Alma Linux 9.1                                           application    AlmaLinux       zabbix-zabbixproxy64                         false     50          2023-04-25T07:21:39Z
131398384    Zabbix Server 6.4 6.4.1 on Rocky Linux 9.1                                         application    AlmaLinux       zabbix-zabbixserver64                        false     50          2023-04-25T07:42:25Z
131398452    Zabbix Server 6.0 6.0.17 on Alma Linux 9.1                                         application    AlmaLinux       zabbix-zabbixserver60                        false     50          2023-04-25T07:56:05Z
131787130    Netmaker 0.18.7 on Ubuntu 22.10                                                    application    Ubuntu          gravitl-netmaker                             false     25          2023-05-01T12:36:52Z
132425380    Activepieces 0.3.13 on Ubuntu 22.04                                                application    Ubuntu          activepieces                                 false     10          2023-05-11T09:05:09Z
134175468    DreamFactory 5.0.1 on Ubuntu 20.04.6                                               application    Ubuntu          dreamfactory                                 false     25          2023-06-07T19:54:08Z
135377501    ZesleCP 3.1.20 on CentOS 7.x                                                       application    CentOS          zeslecp-7                                    false     25          2023-06-26T20:30:55Z
135999646    DeepSparse Inference Runtime 1.5.2 on Ubuntu 22.10                                 application    Ubuntu          neuralmagic-deepsparseinfere                 false     25          2023-07-06T13:56:41Z
136815446    Caligrafy 2.0 on 22.10                                                             application    Ubuntu          caligrafybypostc-caligrafy                   false     25          2023-07-19T15:10:33Z
138203563    Haltdos Pro WAF 1.0.1 on Ubuntu 22.04                                              application    Ubuntu          haltdos-haltdosprowaf                        false     25          2023-08-10T11:08:04Z
138610344    Haltdos WAF Pro 1.0.1 on Ubuntu 22.04                                              application    Ubuntu          haltdos-haltdoswafpro                        false     25          2023-08-16T22:14:25Z
140366115    YPSPS-1 83.11.0.30 on Ubuntu 20.04 LTS                                             application    Ubuntu          yeastar-ypsps1                               false     50          2023-09-13T09:41:41Z
140488730    Appwrite 1.4 on Ubuntu 22.04                                                       application    Ubuntu          appwrite-20-04                               false     25          2023-09-15T04:38:30Z
140492804    OriginTrail DKG testnet node 6 on Ubuntu 20.04                                     application    Ubuntu          origintrail-origintraildkgte                 false     25          2023-09-15T08:46:17Z
140498883    OriginTrail DKG mainnet node 6 on Ubuntu 20.04                                     application    Ubuntu          origintrail-origintraildkgma                 false     25          2023-09-15T15:47:35Z
141324528    Osmosis 19.2.0 on Ubuntu 22.04                                                     application    Ubuntu          osmosislabs-osmosis                          false     25          2023-09-28T15:16:44Z
143550723    SpinupWP 1.0 on Ubuntu 22.04                                                       application    Ubuntu          spinupwp                                     false     25          2023-11-02T15:21:39Z
143627059    Konnect VPN Access Server 2310.0 on Ubuntu 20.04                                   application    Ubuntu          kuyio-konnectvpna                            false     25          2023-11-03T20:08:46Z
143644364    WPCloudDeploy 5.5.0 on Ubuntu 20.04                                                application    Ubuntu          wpclouddeploy                                false     25          2023-11-04T00:35:56Z
144493247    CSMM 1.20.2 on Ubuntu 20.04                                                        application    Ubuntu          csmm-20-04                                   false     25          2023-11-17T09:29:41Z
145189564    Deskpro on Ubuntu 22.04                                                            application    Ubuntu          deskpro                                      false     80          2023-11-28T11:16:22Z
145262042    Mastodon 4.2.1 on Debian 12                                                        application    Debian          mastodon-18-04                               false     50          2023-11-29T14:07:38Z
146288584    Code Server 4.19.1 on Ubuntu 22.04 (LTS)                                           application    Ubuntu          sharklabs-codeserver1                        false     25          2023-12-15T20:02:43Z
146964731    BevywiseMQTTRoute 4.0 on Ubuntu 22.04                                              application    Ubuntu          bevywise-bevywisemqttrout                    false     25          2023-12-26T09:54:32Z
147525444    RackWare Cloud Migration 7.4.5.6 on CentOS 7.x                                     application    CentOS          rackware-rackwarecloudmig                    false     60          2024-01-04T08:30:25Z
147974713    Swarm Lightnode 0.1a on Ubuntu 20.04                                               application    Ubuntu          swarmfoundation-swarmlightnode               false     25          2024-01-11T12:40:43Z
148477604    GitLab Enterprise Edition on Ubuntu 22.04                                          application    Ubuntu          gitlab-gitlabenterprise-20-04                false     80          2024-01-19T15:48:43Z
149357898    moodle 4.3.2 on Debian 12                                                          application    Debian          eummena-moodle-10                            false     25          2024-02-02T15:54:42Z
149601999    Microweber 2.0.9 on Ubuntu 22.04                                                   application    Ubuntu          microwebercms-microweber-20-04               false     25          2024-02-06T11:33:48Z
150099640    Jenkins 2.426.3 on Ubuntu 22.04                                                    application    Ubuntu          jenkins                                      false     50          2024-02-14T05:00:22Z
150917015    Chevereto 4 on Ubuntu 22.04 LTS                                                    application    Ubuntu          chevereto-20-04                              false     25          2024-02-27T00:00:39Z
151093089    xrDebug on Ubuntu 22.04 LTS                                                        application    Ubuntu          chevereto-xrdebug                            false     10          2024-02-29T14:26:11Z
151126572    Counter Strike 2 on Ubuntu 22.04                                                   application    Ubuntu          sharklabs-counterstrike2                     false     50          2024-03-01T03:08:48Z
151353654    Aqtra Platform 0.13 on Ubuntu 20.04                                                application    Ubuntu          aqtraplatform                                false     25          2024-03-04T15:40:47Z
151394515    ONLYOFFICE Workspace 24.02.802 on Ubuntu 22.04 LTS                                 application    Ubuntu          ascensiosystem-onlyoffice-18-04              false     80          2024-03-05T04:37:31Z
151896194    SRS 5.13.31 on Ubuntu 20.04                                                        application    Ubuntu          ossrs-srs                                    false     60          2024-03-12T22:32:31Z
152947115    Virtuozzo Application Platform  8.4-3 on CentOS 7                                  application    CentOS          jelastic-virtuozzoapplica                    false     160         2024-03-28T13:42:45Z
153004831    Plesk-test 18.0.59 on Ubuntu 22.04                                                 application    Ubuntu          plesk-plesktest                              false     25          2024-03-29T10:21:44Z
153033008    HarperDB 4.3.2 on Ubuntu 22.04                                                     application    Ubuntu          harperdb-18-04                               false     25          2024-03-29T20:55:57Z
154389029    Znuny LTS 6.5.8 on Debian 12 bookworm)                                             application    Debian          znuny-znunylts-10                            false     25          2024-04-18T20:44:05Z
155320454    Plesk (CentOS) 18.0.60 on AlmaLinux 9                                              application    AlmaLinux       plesk-pleskcentos-7-9                        false     25          2024-05-02T12:03:25Z
155666402    SearchBlox Enterprise Search 10.6 on CentOS 8.0                                    application    CentOS          searchblox-searchbloxenterp-7-6              false     320         2024-05-07T11:01:27Z
155734584    3CX-V18 18.0.9.31 on Debian 10 (Buster)                                            application    Debian          3cxcommunication-3cxv18                      false     25          2024-05-08T10:16:41Z
155752703    Zabbix Server 6.2 2 on CentOS 8                                                    application    Rocky Linux     zabbix-zabbixserver62                        false     50          2024-05-08T16:36:51Z
156080948    MonetDB 11.49.9 on Ubuntu 20.04                                                    application    Ubuntu          monetdbsolutions-monetdb                     false     25          2024-05-13T11:33:28Z
156227446    FlowForge 2.4.0 on Ubuntu 22.04                                                    application    Ubuntu          flowforge                                    false     25          2024-05-15T15:41:01Z
156236499    Statusnook 0.2.0 on Ubuntu 24.04                                                   application    Ubuntu          superinverse-statusnook                      false     10          2024-05-15T18:03:01Z
156870707    EdgeDB 5.4 on Ubuntu 20.04                                                         application    Ubuntu          edgedb                                       false     25          2024-05-24T21:04:56Z
158205871    Jenkins CI/CD 2.452.2 on Debian 12                                                 application    Debian          decyphertekio-jenkinscicd                    false     50          2024-06-12T16:25:23Z
158206509    MISP 2.4.192 on Debian 12                                                          application    Debian          decyphertekio-misp                           false     60          2024-06-12T17:31:03Z
158207607    Uptime Kuma 1.23.13 on Debian 12                                                   application    Debian          decyphertekio-uptimekuma                     false     50          2024-06-12T19:38:01Z
158834591    Haltdos Community WAF 1.0.4 on Ubuntu 22.04                                        application    Ubuntu          haltdos-haltdoscommunity                     false     25          2024-06-21T10:19:11Z
159788578    1ClickNode for Neo 3.7.5 on Ubuntu 24.04                                           application    Ubuntu          axlabs-1clicknodeforneo                      false     35          2024-07-04T14:38:55Z
159870254    OpenPanel 0.2.1 on Ubuntu 22.04                                                    application    Ubuntu          openpanel                                    false     25          2024-07-05T19:33:03Z
161785006    Varnish Cache 6.0.13 on Ubuntu 20.04                                               application    Ubuntu          varnishsoftware-varnishcache-18-04           false     25          2024-07-31T12:29:20Z
162250425    Scalegrid-Centos7 1 on Centos7                                                     application    CentOS          scalegrid-scalegridcentos7                   false     25          2024-08-06T19:39:24Z
163449978    Laravel Forge 0.1.0 on Ubuntu 24.04                                                application    Ubuntu          laravelforge                                 false     25          2024-08-20T12:55:39Z
163449984    Laravel Forge - Ubuntu 22.04 0.1.0 on Ubuntu 22.04                                 application    Ubuntu          laravelforge-laravelforgeubun                false     25          2024-08-20T12:57:35Z
163594719    Pirisubchains Node 1.0.6 on 22.04                                                  application    Ubuntu          pirichaintechnol-pirisubchainsnod            false     160         2024-08-22T11:36:52Z
164674672    Rocket.Chat 6.12.0 on Ubuntu 20.04                                                 application    Ubuntu          rocketchat-20-04                             false     25          2024-09-05T15:01:06Z
164674872    UI Bakery 3.96.2 on Ubuntu 24.04                                                   application    Ubuntu          uibakery                                     false     25          2024-09-05T15:28:59Z
164882553    PasswordLab on Ubuntu 24.04                                                        application    Ubuntu          askarlabs-passwordlab                        false     25          2024-09-08T06:02:17Z
165691480    Prometheus-2.54.1 2.54.1 on Ubuntu 24.04                                           application    Ubuntu          sharklabs-prometheus2541                     false     25          2024-09-18T14:17:50Z
167377100    SeaTable 5.0.8 on Debian 11                                                        application    Debian          seatablegmbh-seatable                        false     50          2024-10-09T15:16:52Z
168211937    xplex 1.0.0 on Ubuntu 22.04 (LTS)                                                  application    Ubuntu          xplex                                        false     10          2024-10-19T21:33:35Z
168531562    Tebex RCON Adapter 1.1.1 on 24.04                                                  application    Ubuntu          tebex-tebexrconadapter                       false     10          2024-10-23T16:02:54Z
168597646    aaPanel LNMP 7.0.11 on Ubuntu 22.04                                                application    Ubuntu          aapanel-aapanellnmp                          false     25          2024-10-24T08:05:37Z
168692821    SKUDONET v10 10.0.4 on Debian 12                                                   application    Debian          skudonet-skudonetv10                         false     25          2024-10-25T12:07:33Z
168977458    LinuxPatch Appliance 1.8 on Ubuntu 24.04 (LTS)                                     application    Ubuntu          linuxpatchcom-linuxpatchapplia               false     25          2024-10-28T21:31:10Z
169074649    Metaverse 2.01b on Ubuntu 20.04                                                    application    Ubuntu          chaarmiworlds-metaverse                      false     25          2024-10-30T00:30:05Z
170839126    MultiversX Observing Squad 1.0 on Ubuntu 22.04                                     application    Ubuntu          multiversx-multiversxobserv                  false     640         2024-11-19T20:48:27Z
170839149    MultiversX Full Observing Squad 1.0 on Ubuntu 22.04                                application    Ubuntu          multiversx-multiversxfullob                  false     640         2024-11-19T20:53:41Z
171884036    CapRover 1.13.3 on Ubuntu 22.04                                                    application    Ubuntu          caprover-18-04                               false     25          2024-12-01T23:34:15Z
174414774    SearchAI 10.8.0.5 on CentOS Stream 9                                               application    CentOS          searchblox-searchai                          false     320         2024-12-30T14:39:20Z
175296006    UXWizz 7.1.0 on Ubuntu 20.04                                                       application    Ubuntu          tips4designsrl-uxwizz                        false     25          2025-01-09T15:09:38Z
175661826    MultiversX Testnet Sovereign Chain alpha on Ubuntu 22.04                           application    Ubuntu          multiversx-multiversxtestne                  false     320         2025-01-13T13:43:00Z
175847721    Certellix 1.4.2 on Ubuntu 24.04 LTS                                                application    Ubuntu          certellixcom-certellix                       false     25          2025-01-15T19:22:31Z
177031107    QuantRocket 2.11.0 on Ubuntu 24.04                                                 application    Ubuntu          quantrocket                                  false     25          2025-01-28T17:09:48Z
177155106    DeepSeek R1 671B 8x R1-671B on Linux AI/ML Ready                                   application    Ubuntu          digitaloceanai-deepseekr1671b8x              false     2046        2025-01-30T01:26:50Z
177155486    DeepSeek R1 671B 1x R1-671B on Linux AI/ML Ready                                   application    Ubuntu          digitaloceanai-deepseekr1671b1x              false     720         2025-01-30T02:00:20Z
177160187    DeepSeek R1 Distill Qwen 7B 8x R1-Distill-Qwen-7B on Linux AI/ML Ready             application    Ubuntu          digitaloceanai-deepseekr1distillqwen7b8x     false     2046        2025-01-30T04:02:42Z
177173149    DeepSeek R1 Distill Llama 8B 8x R1-Distill-Llama-8B on Linux AI/ML Ready           application    Ubuntu          digitaloceanai-deepseekr1distillllama8b8x    false     2046        2025-01-30T05:47:19Z
177873921    QuestDB 8.2.2 on Ubuntu 20.04                                                      application    Ubuntu          questdb-20-04                                false     25          2025-02-06T20:59:44Z
179419520    EmailEngine 2.50.9 on Ubuntu 22.04                                                 application    Ubuntu          postalsystemso-emailengine                   false     25          2025-02-23T11:23:02Z
179555295    Teleport 17 on Ubuntu 22.04                                                        application    Ubuntu          devrel-teleport-20-04                        false     25          2025-02-24T22:47:32Z
179810743    SWPanel 1.0 on Debian 12                                                           application    Debian          swpanel                                      false     25          2025-02-27T15:11:06Z
179923865    Gel 6.1 on Ubuntu 24.04                                                            application    Ubuntu          edgedb-gel                                   false     25          2025-02-28T21:33:20Z
181184297    LaunchWP.io 1.0.2 on Ubuntu 24.04 (LTS)                                            application    Ubuntu          launchwp-launchwpio                          false     25          2025-03-14T04:11:59Z
181572528    Yeastar P-Series Phone System 83.18.0.72 on Ubuntu 24.04 LTS                       application    Ubuntu          yeastar-yeastarpseriesph                     false     50          2025-03-18T07:21:14Z
181658244    UTunnel VPN 10114 on Ubuntu 24.04                                                  application    Ubuntu          utnadmins-utunnelvpn                         false     10          2025-03-19T04:31:15Z
181732400    Border0 1.1-1418 on Ubuntu 22.04                                                   application    Ubuntu          border0                                      false     25          2025-03-20T02:22:09Z
182178474    Semaphore 2.13.1 on Ubuntu 22.04                                                   application    Ubuntu          semaphore                                    false     25          2025-03-24T18:31:02Z
182228233    omniedge-supernode 2.6 on Ubuntu 22.04                                             application    Ubuntu          omniedge-omniedgesupernod                    false     10          2025-03-25T04:21:11Z
182716582    PENN (Postgres + Express + Next.js) 1 on Ubuntu 24.04                              application    Ubuntu          aumkarthakur-pennpostgresexpr                false     25          2025-03-30T11:51:42Z
182945608    DBConvert Streams 1.2.0 on Ubuntu 24.04                                            application    Ubuntu          slotixsro-dbconvertstreams                   false     25          2025-04-01T21:58:49Z
183873122    Pangolin 1.2.0 on Ubuntu 24.04 LTS                                                 application    Ubuntu          sharklabs-pangolin                           false     10          2025-04-11T16:12:30Z
185599073    Laravel Forge - Ubuntu 20.04 0.4.2 on Ubuntu 20.04                                 application    Ubuntu          laravel-forge-ubuntu-20-04                   false     10          2025-04-29T09:55:47Z
187004047    SVNPlus 0.1 on Ubuntu 24.04                                                        application    Ubuntu          svnplus                                      false     10          2025-05-13T20:18:43Z
187684476    JupyterLab - AMD MI300x 4.4.2 on AI/ML Ready Linux                                 application    Ubuntu          digitaloceanai-jupyterlabamdmi3              false     720         2025-05-20T19:31:12Z
188169637    OctoBot 1.0.1 on Ubuntu 22.04                                                      application    Ubuntu          drakkarsoftware-octobot                      false     25          2025-05-25T15:50:19Z
188571990    ROCm™ Software 6.4.1 on Ubuntu 24.0                                                application    Ubuntu          digitaloceanai-rocmsoftware                  false     80          2025-05-29T18:27:48Z
189685553    TorchTune 2.6.0 on Ubuntu 24.04                                                    application    Ubuntu          amd-torchtune                                false     720         2025-06-09T09:59:47Z
189697903    MeiliSearch 1.15.0 on Debian 11 (Bullseye)                                         application    Debian          meilisas-meilisearch-10                      false     25          2025-06-09T15:57:01Z
189765507    ONLYOFFICE DocSpace 3.1 on Ubuntu 24.04 LTS                                        application    Ubuntu          ascensiosystemsi-onlyofficedocspa            false     80          2025-06-10T05:47:48Z
190390932    Sparrow 1.0.0 on Ubuntu 24.04                                                      application    Ubuntu          techdomeai-sparrow                           false     80          2025-06-16T10:53:26Z
192202238    Sparrow Community Edition 1.2.0 on 24.04                                           application    Ubuntu          techdomeai-sparrowcommunity                  false     80          2025-07-03T13:33:47Z
193318881    OpenLiteSpeed ClassicPress 2.4.1 on Ubuntu 24.04                                   application    Ubuntu          litespeedtechnol-openlitespeedcla-18-04      false     25          2025-07-14T06:39:26Z
194144121    JAX 0.4.35 on Ubuntu 24.04                                                         application    Ubuntu          digitaloceanai-jax                           false     720         2025-07-22T06:57:53Z
194144122    PyTorch 2.6.0 on Ubuntu 24.04                                                      application    Ubuntu          digitaloceanai-rocmpytorchjupyt              false     720         2025-07-22T06:57:55Z
194144128    ROCm™ Software 6.4.0 on Ubuntu 24.04                                               application    Ubuntu          digitaloceanai-rocmjupyter                   false     720         2025-07-22T06:59:43Z
194144129    Megatron 0.10.0 on Ubuntu 24.04                                                    application    Ubuntu          digitaloceanai-rocmmegatronjupy              false     720         2025-07-22T06:59:50Z
194158651    vLLM 0.8.6 on Ubuntu 24.04                                                         application    Ubuntu          digitaloceanai-rocmvllmjupyter               false     720         2025-07-22T08:50:37Z
194171210    vLLM 0.8.5 0.8.5 on Ubuntu 24.04                                                   application    Ubuntu          amd-vllm085                                  false     720         2025-07-22T14:13:40Z
194171236    JAX 0.4.35 0.4.35 on Ubuntu 24.04                                                  application    Ubuntu          amd-jax0435                                  false     720         2025-07-22T14:14:36Z
194171272    Megatron 0.10.0 0.10.0 on Ubuntu 24.04                                             application    Ubuntu          amd-megatron0100                             false     720         2025-07-22T14:20:00Z
194171280    PyTorch 2.5.1 2.5.1 on Ubuntu 24.04                                                application    Ubuntu          amd-pytorch251                               false     720         2025-07-22T14:20:22Z
194270369    SGLang 0.4.9 on Ubuntu 24.04                                                       application    Ubuntu          digitaloceanai-sglang                        false     720         2025-07-23T12:17:02Z
194270468    SGLang 0.4.6 0.4.6 on Ubuntu 24.04                                                 application    Ubuntu          amd-sglang046                                false     720         2025-07-23T12:50:33Z
195819969    OpenAI GPT OSS 120b on Ubuntu 24.04                                                application    Ubuntu          amd-openaigptoss                             false     720         2025-08-07T08:49:03Z
195820801    Laravel Forge - Ubuntu 22.04 0.5.1 on Ubuntu 22.04                                 application    Ubuntu          laravel-forge-ubuntu-22-04                   false     10          2025-08-07T11:20:55Z
195820802    Laravel Forge - Ubuntu 24.04 0.5.1 on Ubuntu 24.04                                 application    Ubuntu          laravel-forge-ubuntu-24-04                   false     10          2025-08-07T11:21:02Z
197215584    FileCloud  23.242.0.29412 on Ubuntu 22.04                                          application    Ubuntu          codelathe-filecloud-20-04                    false     80          2025-08-20T16:23:30Z
199653793    n8n 1.110.1 on Ubuntu 24.04 (LTS)                                                  application    Ubuntu          automazeme-n8n                               false     25          2025-09-12T18:56:52Z
199996636    Appsmith 1.85 on Ubuntu 24.04                                                      application    Ubuntu          appsmith-18-04                               false     25          2025-09-15T19:04:07Z
200217503    ROCm™ 7 Software on Ubuntu 24.04                                                   application    Ubuntu          amd-rocm7software                            false     720         2025-09-17T21:38:47Z
201602960    vLLM (ROCm7) 0.9.2 on Ubuntu 24.04                                                 application    Ubuntu          amd-vllmrocm7                                false     720         2025-09-30T14:51:40Z
201615365    SGLang (ROCm7) 0.4.9 on Ubuntu 24.04                                               application    Ubuntu          amd-sglangrocm7                              false     720         2025-09-30T16:34:59Z
201616009    PyTorch (ROCm7) 2.6.0 on Ubuntu 24.04                                              application    Ubuntu          amd-pytorchrocm7                             false     720         2025-09-30T17:30:41Z
201813315    Megatron (ROCm 7) 0.10.0 + ROCm 7.0 on Ubuntu 24.04                                application    Ubuntu          amd-megatronrocm7                            false     720         2025-10-02T13:32:40Z
201932560    OpenAI GPT OSS (ROCm 7) 120b on Ubuntu 24.04                                       application    Ubuntu          amd-openaigptossrocm                         false     720         2025-10-03T18:02:30Z
202239246    Perforce Helix Core 2025.1 on Rocky 9.5                                            application    Rocky Linux     perforce-perforcehelixcor                    false     50          2025-10-06T06:52:02Z
202567858    WHMCS 8.12 on Ubuntu 22.04                                                         application    Ubuntu          whmcs                                        false     25          2025-10-09T11:25:07Z
